academic_year,pupil_name,parental_contact,parental_contact_email
2,"Nellies, Ronna","Nellies, Purcell",Nellies.Purcell@Demizz.com
4,"Andriulis, Rusty","Andriulis, Vassili",Andriulis.Vassili@Brainbox.com
4,"Oakeshott, Roberta","Oakeshott, Lind",Oakeshott.Lind@Centidel.com
4,"Rubinfajn, Lola","Rubinfajn, Elie",Rubinfajn.Elie@Edgeblab.com
4,"Benedtti, Kamila","Benedtti, Adela",Benedtti.Adela@Trudoo.com
4,"Colebourn, Avery","Colebourn, Dalenna",Colebourn.Dalenna@Linktype.com
1,"Klimko, Valentino","Klimko, Arlette",Klimko.Arlette@Thoughtblab.com
1,"Shearwood, Cal","Shearwood, Leontine",Shearwood.Leontine@Browseblab.com
3,"Truswell, King","Truswell, Evvy",Truswell.Evvy@Photospace.com
1,"Stichall, Towney","Stichall, Wendie",Stichall.Wendie@Kwimbee.com
3,"Mc Dermid, Aubrette","Mc Dermid, Emilee",Mc Dermid.Emilee@Oyonder.com
3,"Chatres, Adah","Chatres, Claudine",Chatres.Claudine@Jabbercube.com
2,"Titterton, Benedikt","Titterton, Zelma",Titterton.Zelma@Blogtag.com
3,"Harberer, Rosina","Harberer, Esther",Harberer.Esther@Trilith.com
3,"Filinkov, Panchito","Filinkov, Darbee",Filinkov.Darbee@Flashspan.com
3,"Strike, Samara","Strike, Winna",Strike.Winna@Innojam.com
4,"McCormack, Joane","McCormack, Marsiella",McCormack.Marsiella@Zooxo.com
2,"Sitlinton, Griffie","Sitlinton, Hunfredo",Sitlinton.Hunfredo@Meedoo.com
1,"Silversmidt, Gilberta","Silversmidt, Tawsha",Silversmidt.Tawsha@Babbleblab.com
4,"Matkovic, Marjie","Matkovic, Ev",Matkovic.Ev@Youbridge.com
4,"Cowterd, Uri","Cowterd, Chrystal",Cowterd.Chrystal@Jabbersphere.com
1,"Mattisson, Korella","Mattisson, Sherie",Mattisson.Sherie@Flipopia.com
2,"Schonfelder, Findlay","Schonfelder, Aldridge",Schonfelder.Aldridge@Dabtype.com
3,"Jantzen, Jaquelyn","Jantzen, Walther",Jantzen.Walther@Vitz.com
4,"Gradwell, Davina","Gradwell, Ketti",Gradwell.Ketti@Leexo.com
2,"Selby, Nicolea","Selby, Kippie",Selby.Kippie@Kwimbee.com
3,"Alelsandrovich, Moselle","Alelsandrovich, Quentin",Alelsandrovich.Quentin@Feedfire.com
1,"Nieass, Honey","Nieass, Sela",Nieass.Sela@Gigabox.com
3,"Godfroy, Akim","Godfroy, Diarmid",Godfroy.Diarmid@Buzzshare.com
3,"Floch, Karole","Floch, Allie",Floch.Allie@Zava.com
1,"Feldbaum, Nata","Feldbaum, Sloane",Feldbaum.Sloane@Skidoo.com
4,"Antonucci, Jaquelin","Antonucci, Mathe",Antonucci.Mathe@DabZ.com
2,"Hallums, Candra","Hallums, Raquela",Hallums.Raquela@Realbridge.com
1,"Masters, Den","Masters, Hermon",Masters.Hermon@Photospace.com
4,"Marris, Janifer","Marris, Lars",Marris.Lars@Thoughtworks.com
4,"Bremmer, Carolus","Bremmer, Gal",Bremmer.Gal@Kanoodle.com
1,"Addicote, Casey","Addicote, Vina",Addicote.Vina@Fiveclub.com
2,"De Ath, Brigida","De Ath, Alastair",De Ath.Alastair@Eamia.com
4,"Severs, Kimberli","Severs, Annabell",Severs.Annabell@Jaxspan.com
2,"Blumson, Maribeth","Blumson, Louis",Blumson.Louis@Topicblab.com
3,"Rosenauer, Arabele","Rosenauer, Vernen",Rosenauer.Vernen@Zava.com
2,"Cominetti, Madison","Cominetti, Paulie",Cominetti.Paulie@Tekfly.com
2,"Knoton, Verina","Knoton, Melantha",Knoton.Melantha@Jabbercube.com
2,"Clubbe, Wolfgang","Clubbe, Axel",Clubbe.Axel@Cogilith.com
1,"Mazdon, Davin","Mazdon, Deena",Mazdon.Deena@Ainyx.com
2,"McIlwaine, Constantina","McIlwaine, Onfre",McIlwaine.Onfre@Thoughtstorm.com
1,"Merredy, Sayre","Merredy, Antoni",Merredy.Antoni@Browsebug.com
2,"Jeannot, Rodrick","Jeannot, Shauna",Jeannot.Shauna@Bubbletube.com
1,"Guerre, Kain","Guerre, Alexandros",Guerre.Alexandros@Roomm.com
2,"Fieldstone, Blinni","Fieldstone, Odelle",Fieldstone.Odelle@Yoveo.com
2,"Goscomb, Annabell","Goscomb, Joann",Goscomb.Joann@Photofeed.com
1,"Benazet, Clayborn","Benazet, Robers",Benazet.Robers@Devpoint.com
1,"Henze, Mahala","Henze, Fredra",Henze.Fredra@Meevee.com
4,"Berzen, Lanette","Berzen, Chrisy",Berzen.Chrisy@Roombo.com
3,"Ruckhard, Keefer","Ruckhard, Ashlie",Ruckhard.Ashlie@Dynazzy.com
2,"Truelock, Merrili","Truelock, Felicdad",Truelock.Felicdad@Meembee.com
1,"Goutcher, Joete","Goutcher, Mandi",Goutcher.Mandi@Flipstorm.com
4,"Palfreman, Miguelita","Palfreman, Liliane",Palfreman.Liliane@Wikizz.com
4,"Mattes, Ossie","Mattes, Clea",Mattes.Clea@Jaxspan.com
2,"Vernay, Bear","Vernay, Joanie",Vernay.Joanie@Quaxo.com
1,"Wragge, Teodor","Wragge, Dotti",Wragge.Dotti@Zoomlounge.com
2,"Whitelaw, Daisie","Whitelaw, Annabella",Whitelaw.Annabella@Rhynyx.com
1,"Littley, Emlynne","Littley, Lilli",Littley.Lilli@Kare.com
4,"Walsh, Britni","Walsh, Wilma",Walsh.Wilma@Yamia.com
3,"Inseal, Marys","Inseal, Lisle",Inseal.Lisle@Kamba.com
2,"Massow, Paxton","Massow, Codie",Massow.Codie@Jabbertype.com
3,"Scain, Kerby","Scain, Clarette",Scain.Clarette@Zava.com
2,"Lamplough, Johnathan","Lamplough, Demetris",Lamplough.Demetris@Tagcat.com
3,"Donald, Jeni","Donald, Mariska",Donald.Mariska@Rhybox.com
3,"Abrahamsohn, Sylvia","Abrahamsohn, Fin",Abrahamsohn.Fin@Fivebridge.com
4,"Stoyle, Cinnamon","Stoyle, Valerye",Stoyle.Valerye@Browsecat.com
3,"Amey, Issi","Amey, Llewellyn",Amey.Llewellyn@Fiveclub.com
3,"Letson, Brion","Letson, Brewster",Letson.Brewster@Gigashots.com
4,"Sire, Nappie","Sire, Hansiain",Sire.Hansiain@Avamba.com
4,"Chapelle, Pattie","Chapelle, Orazio",Chapelle.Orazio@Trilia.com
4,"Armit, Brynna","Armit, Evania",Armit.Evania@Jamia.com
2,"Bruinsma, Gauthier","Bruinsma, Massimiliano",Bruinsma.Massimiliano@Skaboo.com
2,"Gudgeon, Pren","Gudgeon, Hobard",Gudgeon.Hobard@Tagopia.com
2,"Husthwaite, Wyn","Husthwaite, Hector",Husthwaite.Hector@Vinte.com
4,"Padrick, Allianora","Padrick, Engracia",Padrick.Engracia@Jabbercube.com
3,"Bennough, Malena","Bennough, Rianon",Bennough.Rianon@Photolist.com
3,"Winscom, Jarret","Winscom, Beilul",Winscom.Beilul@Gabtune.com
2,"Salmen, Ree","Salmen, Laughton",Salmen.Laughton@Zoombox.com
1,"Dommerque, Hope","Dommerque, Horace",Dommerque.Horace@Midel.com
3,"Trowle, Guillermo","Trowle, Marina",Trowle.Marina@Wikizz.com
2,"Cottingham, Tibold","Cottingham, Augy",Cottingham.Augy@Wordware.com
2,"Poxton, Cecilia","Poxton, Zea",Poxton.Zea@Rhynyx.com
2,"Sleney, Arri","Sleney, Waylin",Sleney.Waylin@Skilith.com
4,"Isenor, Regina","Isenor, Fern",Isenor.Fern@Skiba.com
4,"Roll, Annalise","Roll, Malinde",Roll.Malinde@Trupe.com
2,"Blyth, Othello","Blyth, Beitris",Blyth.Beitris@Realpoint.com
4,"Heyball, Ave","Heyball, Gregg",Heyball.Gregg@Twinder.com
1,"Civitillo, Friederike","Civitillo, Venus",Civitillo.Venus@Yamia.com
2,"Rizzini, Hayley","Rizzini, Darryl",Rizzini.Darryl@Oodoo.com
2,"Monery, Blakelee","Monery, Zsa zsa",Monery.Zsa zsa@Skyvu.com
3,"Cowton, Jacenta","Cowton, Jenny",Cowton.Jenny@Voonyx.com
1,"Westmoreland, Karlyn","Westmoreland, Isador",Westmoreland.Isador@Tazzy.com
1,"Bachellier, Yancey","Bachellier, Orren",Bachellier.Orren@Realblab.com
4,"Lissandrini, Nerte","Lissandrini, Quinlan",Lissandrini.Quinlan@Abata.com
1,"Crosthwaite, Dorolice","Crosthwaite, Knox",Crosthwaite.Knox@JumpXS.com
4,"Thorley, Brantley","Thorley, Haywood",Thorley.Haywood@Viva.com
1,"Cypler, Robin","Cypler, Billie",Cypler.Billie@Devshare.com
4,"Allsepp, Phillie","Allsepp, Cecelia",Allsepp.Cecelia@Skaboo.com
3,"Artz, Toddie","Artz, Saidee",Artz.Saidee@Zooxo.com
1,"Antoshin, Marje","Antoshin, Vassily",Antoshin.Vassily@Topicstorm.com
1,"Blazdell, Rochella","Blazdell, Rickie",Blazdell.Rickie@Dynava.com
1,"Thursfield, Aryn","Thursfield, Orbadiah",Thursfield.Orbadiah@Tekfly.com
2,"Antowski, Isaiah","Antowski, Man",Antowski.Man@Agimba.com
2,"Owbridge, Helli","Owbridge, Denise",Owbridge.Denise@Linklinks.com
4,"Scourgie, Hadrian","Scourgie, Elena",Scourgie.Elena@Linkbridge.com
2,"Nanetti, Toddie","Nanetti, Kit",Nanetti.Kit@Mynte.com
4,"Sugar, Inger","Sugar, Collin",Sugar.Collin@Divanoodle.com
1,"Meyer, Lezlie","Meyer, Nevile",Meyer.Nevile@Fiveclub.com
1,"Krinks, Rowland","Krinks, Durward",Krinks.Durward@Flashspan.com
4,"Baumber, Fair","Baumber, Elnar",Baumber.Elnar@Oyope.com
2,"Graver, Ekaterina","Graver, Adam",Graver.Adam@Thoughtbridge.com
2,"Spear, Farris","Spear, Marcella",Spear.Marcella@Skipfire.com
2,"Croisier, Shanie","Croisier, Murray",Croisier.Murray@Skalith.com
