Student ID,Full Name,Date of Birth,Region,English,Maths,Science,Grade Score,School Name,School ID
15000,NISSA MCGEACHY,2007-06-21,WEST,C,B,A,120,Park Road Secondary,1
15001,LORRAINE SILSON,2006-07-09,WEST,B,B,C,110,Park Road Secondary,1
15002,MATHILDE PAGITT,2007-01-24,WEST,B,A,C,120,Park Road Secondary,1
15003,NEVINS PACHECO,2006-09-30,WEST,C,A,C,110,Park Road Secondary,1
15004,OTHELLA EVEMY,2007-08-05,WEST,C,B,B,110,Park Road Secondary,1
15005,ESTELL HALPIN,2006-04-09,WEST,C,C,C,90,Park Road Secondary,1
15006,ALPHARD HAWKING,2006-01-10,WEST,C,C,C,90,Park Road Secondary,1
15007,NIKOLAS CRON,2007-03-16,WEST,D,E,E,40,Park Road Secondary,1
15008,ELLARY JOUHAN,2006-07-10,WEST,A,C,C,110,Park Road Secondary,1
15009,MORGANA PETHYBRIDGE,2006-12-30,WEST,B,B,A,130,Park Road Secondary,1
15010,DEMETER HANSCOM,2006-07-09,WEST,D,D,F,40,Park Road Secondary,1
15011,EUGENIO BUNCOM,2007-06-24,WEST,E,B,B,90,Park Road Secondary,1
15012,MATTHIEW SHEEHY,2007-04-18,WEST,E,C,D,60,Park Road Secondary,1
15013,LORIANNE ROANTREE,2006-09-24,WEST,B,C,B,110,Park Road Secondary,1
15014,CODI TOUSY,2007-01-29,WEST,C,C,B,100,Park Road Secondary,1
15015,PIPPY BUDGEY,2006-12-27,WEST,C,A,C,110,Park Road Secondary,1
15016,DARA BONSUL,2006-06-11,WEST,D,B,B,100,Park Road Secondary,1
15017,MELITTA PIKETT,2007-12-02,WEST,D,B,C,90,Park Road Secondary,1
15018,DACIA ABELLS,2007-06-15,WEST,B,F,C,70,Park Road Secondary,1
15019,KASS GARFOOT,2007-04-20,WEST,C,B,A,120,Park Road Secondary,1
15020,BRIAN JONE,2007-06-06,WEST,C,B,C,100,Park Road Secondary,1
15021,LOU BRITTLE,2007-02-19,WEST,B,A,A,140,Park Road Secondary,1
15022,ELVIRA GUBBINS,2006-04-12,WEST,C,A,A,130,Park Road Secondary,1
15023,EMMERY DYMOND,2007-08-25,WEST,B,D,B,100,Park Road Secondary,1
15024,SUSETTE GOOCH,2006-09-20,WEST,B,C,A,120,Park Road Secondary,1
15025,CARMITA FULFORD,2006-11-26,WEST,C,C,B,100,Park Road Secondary,1
15026,SELIE MORGUE,2007-06-06,WEST,A,E,A,110,Park Road Secondary,1
15027,MICKIE DRING,2007-04-04,WEST,C,C,B,100,Park Road Secondary,1
15028,ALFONSE ANTOINET,2007-06-18,WEST,C,B,C,100,Park Road Secondary,1
15029,SHERIDAN WHITECHURCH,2007-04-04,WEST,C,B,B,110,Park Road Secondary,1
15030,MARTHENA GREATREAX,2007-12-01,WEST,B,C,B,110,Park Road Secondary,1
15031,MELANIE LACKINGTON,2007-06-30,WEST,C,A,A,130,Park Road Secondary,1
15032,HEDWIG WYTCHARD,2007-04-06,WEST,A,D,B,110,Park Road Secondary,1
15033,NEILA THODY,2006-08-12,WEST,D,A,A,120,Park Road Secondary,1
15034,BRIG SIMNER,2007-08-01,WEST,B,B,B,120,Park Road Secondary,1
15035,MAURICIO MCRAE,2007-08-13,WEST,A,B,B,130,Park Road Secondary,1
15036,THEODOSIA SUMBLER,2007-05-31,WEST,B,C,B,110,Park Road Secondary,1
15037,YALONDA CODD,2007-08-22,WEST,B,B,C,110,Park Road Secondary,1
15038,NOELLA FERRES,2007-12-03,WEST,C,C,A,110,Park Road Secondary,1
15039,GIANNA WASHINGTON,2007-08-13,WEST,B,B,A,130,Park Road Secondary,1
15040,YETTY O'CORRIN,2007-07-13,WEST,B,C,C,100,Park Road Secondary,1
15041,CARLYN MCCLUNEY,2007-01-16,WEST,D,C,B,90,Park Road Secondary,1
15042,HENRIETTA BOYDELL,2007-06-13,WEST,C,B,B,110,Park Road Secondary,1
15043,STERLING JOSSUM,2006-11-29,WEST,B,C,A,120,Park Road Secondary,1
15044,KARIOTTA PROBBINGS,2007-10-05,WEST,B,C,C,100,Park Road Secondary,1
15045,KIPPAR BLECKLY,2007-05-25,WEST,C,C,D,80,Park Road Secondary,1
15046,JYOTI REDHOLE,2006-10-12,WEST,B,E,B,90,Park Road Secondary,1
15047,LAURENA EASUN,2007-05-01,WEST,A,B,B,130,Park Road Secondary,1
15048,CHELSEY LEDRUN,2007-07-25,WEST,B,B,A,130,Park Road Secondary,1
15049,KIMBELL UBSDALE,2006-09-18,WEST,B,B,C,110,Park Road Secondary,1
15050,RODRIGO JUORIO,2006-09-12,WEST,C,B,B,110,Park Road Secondary,1
15051,DURANTE DONOHER,2007-07-28,WEST,B,C,B,110,Park Road Secondary,1
15052,KAREN DANZELMAN,2007-01-07,WEST,D,C,C,80,Park Road Secondary,1
15053,LILYAN DI BERNARDO,2007-04-07,WEST,A,B,A,140,Park Road Secondary,1
15054,DONNY WEDMORE.,2007-08-16,WEST,A,C,E,90,Park Road Secondary,1
15055,LARYSSA DEMARE,2007-08-02,WEST,B,A,B,130,Park Road Secondary,1
15056,KIRBY REDIERS,2007-07-13,WEST,C,C,D,80,Park Road Secondary,1
15057,LINDSY DEARTH,2007-08-27,WEST,B,C,F,70,Park Road Secondary,1
15058,JEMIE MURFILL,2007-04-14,WEST,C,C,E,70,Park Road Secondary,1
15059,JACKQUELINE CAPINETTI,2007-02-20,WEST,D,C,C,80,Park Road Secondary,1
15060,TILLY STELJES,2006-10-18,WEST,F,A,C,80,Park Road Secondary,1
15061,JON PINN,2007-03-19,WEST,C,B,C,100,Park Road Secondary,1
15062,TAMMY DUCHAM,2006-04-10,WEST,C,C,D,80,Park Road Secondary,1
15063,DICKY CARDOE,2007-07-27,WEST,A,A,C,130,Park Road Secondary,1
15064,GRADEY BUDCOCK,2007-06-29,WEST,A,B,B,130,Park Road Secondary,1
15065,DURANT BELLFIELD,2006-09-17,WEST,B,B,C,110,Park Road Secondary,1
15066,WILLY RAO,2007-05-22,WEST,C,A,A,130,Park Road Secondary,1
15067,BEVERLEY STOTT,2006-05-12,WEST,C,A,C,110,Park Road Secondary,1
15068,ATHENE ERSKIN,2006-07-12,WEST,B,B,B,120,Park Road Secondary,1
15069,KRISTOS FELCE,2006-12-15,WEST,B,E,D,70,Park Road Secondary,1
15070,WAKE GURRY,2007-08-14,WEST,C,B,B,110,Park Road Secondary,1
15071,DEEANNE GORCE,2007-01-31,WEST,B,B,B,120,Park Road Secondary,1
15072,CLERC NORQUAY,2007-02-22,WEST,C,C,B,100,Park Road Secondary,1
15073,OLIA KILMISTER,2006-11-28,WEST,B,E,A,100,Park Road Secondary,1
15074,ANNECORINNE HOUSEN,2007-12-04,WEST,D,A,B,110,Park Road Secondary,1
15075,ALBERTA ROYCROFT,2007-07-14,WEST,B,C,B,110,Park Road Secondary,1
15076,JONE HAESLIER,2007-07-27,WEST,C,E,C,70,Park Road Secondary,1
15077,NESSA HAIRS,2007-05-19,WEST,C,D,A,100,Park Road Secondary,1
15078,EZRA PLOWES,2007-02-15,WEST,C,B,A,120,Park Road Secondary,1
15079,MAJE KLEIN,2007-07-01,WEST,C,C,B,100,Park Road Secondary,1
15080,NINETTE ANTONEY,2007-03-13,WEST,C,B,B,110,Park Road Secondary,1
15081,CRAGGY MELENDEZ,2006-12-11,WEST,B,B,B,120,Park Road Secondary,1
15082,ALLY PANSWICK,2007-08-28,WEST,C,A,B,120,Park Road Secondary,1
15083,WALDO WADESON,2007-07-02,WEST,C,C,F,60,Park Road Secondary,1
15084,MARION GONCAVES,2006-09-12,WEST,B,A,B,130,Park Road Secondary,1
15085,FREDIA MCCOLLEY,2007-02-22,WEST,A,B,C,120,Park Road Secondary,1
15086,JOANNA PESTRIDGE,2006-10-27,WEST,C,C,A,110,Park Road Secondary,1
15087,ALVY KEPPEL,2006-12-19,WEST,D,C,B,90,Park Road Secondary,1
15088,NICKI POLLASTRINO,2007-05-22,WEST,B,D,C,90,Park Road Secondary,1
15089,NANICE BEGBIE,2006-09-09,WEST,B,A,C,120,Park Road Secondary,1
15090,REINHARD MATVEICHEV,2006-05-11,WEST,C,B,B,110,Park Road Secondary,1
15091,BAT RZEHOR,2006-11-23,WEST,D,C,B,90,Park Road Secondary,1
15092,DARSEY BELLWOOD,2007-11-04,WEST,C,B,C,100,Park Road Secondary,1
15093,EZRI FITZSYMONDS,2006-09-22,WEST,E,B,B,90,Park Road Secondary,1
15094,CODI MACKELLAR,2006-11-18,WEST,B,C,C,100,Park Road Secondary,1
15095,RUTHANNE RAVENSHAW,2006-10-30,WEST,C,C,C,90,Park Road Secondary,1
15096,DORICE WILTSHAW,2007-11-07,WEST,A,A,C,130,Park Road Secondary,1
15097,CLARENCE BROOKZ,2006-12-25,WEST,D,E,C,60,Park Road Secondary,1
15098,AMELIA VONDRA,2007-08-16,WEST,C,B,B,110,Park Road Secondary,1
15099,EVEN MATUSSOV,2006-07-09,WEST,A,B,C,120,Park Road Secondary,1
15100,READ KEMBERY,2007-05-07,WEST,B,C,C,100,Park Road Secondary,1
15101,THOMA TORRI,2007-06-19,WEST,B,C,C,100,Park Road Secondary,1
15102,SOFIA CLEEVER,2006-12-22,WEST,C,B,C,100,Park Road Secondary,1
