Year Group ,Full Name,year_attendance_rate
6,Cinnamon Stoyle,96.32
7,Chickie Asch,96.32
7,Marcus Lemery,95.26
3,Westley Bergin,92.63
7,Carmon Phear,92.63
5,Marys Inseal,92.11
3,Ernesta Siggers,92.11
2,Terry Sloey,92.11
4,Maximo Greenin,91.58
6,Nick Jurzyk,91.58
7,Shannon Gerring,91.05
7,Katharina Joscelyne,90.53
3,Gilemette Vezey,89.47
5,Zarah Symington,89.47
5,Bartolemo Cleave,88.95
3,Angil Grundy,88.95
5,Derry Crowest,88.95
2,Panchito Filinkov,88.95
5,Brana Bridgstock,88.42
6,Davina Gradwell,88.42
5,Andeee Dorrity,88.42
4,Alane Beidebeke,88.42
2,Rusty Andriulis,87.89
1,Ted Gobel,87.89
7,Iseabal Aldwinckle,87.89
6,Melisa Fibbens,87.89
4,Alon Brash,87.89
5,Gil Hele,87.37
2,Tiffy Glanz,86.84
6,Casey Kelshaw,86.84
1,Elsa Yakutin,86.84
6,Elvin Lewinton,86.84
2,Ekaterina Graver,86.84
6,Rayna Hobble,86.32
4,Johna Degue,86.32
6,Dynah Petrillo,86.32
7,Jami Plunket,86.32
7,Mace Huntingdon,85.79
4,Janene Harford,85.79
4,Tate Guitton,85.79
4,Bondon Antonazzi,85.26
2,Bartholemy Rattrie,85.26
4,Cristionna Hegden,85.26
4,Madlen Lethardy,85.26
4,Keelia McBoyle,85.26
2,Linda Haberjam,85.26
1,Leese Leinster,84.74
1,Filippa Pattingson,84.74
3,Livvyy Vasquez,84.74
3,Ingelbert Sessuns,84.21
1,Loreen MacCauley,84.21
1,Barnie Drees,84.21
3,Amitie Elvy,84.21
3,Louis Gabbatiss,81.05
3,Ronica Proppers,80.0
