Transaction Date,Transaction Number,Product Type,Product Scent,Product Size,Cash or Card,Loyalty Number,Customer Name,Loyalty Tier,Loyalty Discount,Quantity,Sales Before Discount,Sales After Discount,Profit
2023-01-03,30123001,Liquid,Sandalwood Spice,0.25L,Cash,1005245,Laurens Squibbs,Bronze,0.05,2.0,8.5,8.075,3.17
2023-01-03,30123001,Liquid,Vanilla Bean,0.5L,Cash,1005245,Laurens Squibbs,Bronze,0.05,2.0,14.7,13.964999999999998,2.02
2023-01-03,30123002,Liquid,Sandalwood Spice,1L,Card,1007270,Cary Breckon,Bronze,0.05,1.0,13.19,12.530499999999998,2.86
2023-01-03,30123003,Liquid,Eucalyptus Mint,0.25L,Cash,1009750,Orv Drewitt,Bronze,0.05,2.0,9.0,8.549999999999999,4.01
2023-01-03,30123003,Liquid,Eucalyptus Mint,1L,Cash,1009750,Orv Drewitt,Bronze,0.05,3.0000000000000004,39.81,37.8195,10.94
2023-01-03,30123004,Bar,Vanilla Bean,2x,Card,,,,,2.0,13.72,,
2023-01-03,30123004,Liquid,Rose Garden,1L,Card,,,,,4.0,47.4,,
2023-01-03,30123005,Liquid,Coconut Dream,0.25L,Cash,1007723,Mariel Geistbeck,Silver,0.1,4.0,9.52,8.568,1.65
2023-01-03,30123005,Liquid,Rose Garden,1L,Cash,1007723,Mariel Geistbeck,Silver,0.1,4.0,47.4,42.66,13.26
2023-01-03,30123006,Bar,Ocean Mist,1x,Cash,,,,,5.0,6.0,,
2023-01-03,30123007,Bar,Citrus Breeze,1x,Card,,,,,3.0,2.43,,
2023-01-03,30123007,Bar,Citrus Breeze,1x,Card,,,,,4.999999999999999,4.05,,
2023-01-03,30123008,Bar,Rose Garden,2x,Cash,1009898,Kimbra Fairfoull,Bronze,0.05,3.0,9.51,9.0345,0.18
2023-01-03,30123008,Liquid,Citrus Breeze,0.25L,Cash,1009898,Kimbra Fairfoull,Bronze,0.05,3.0,4.38,4.161,1.46
2023-01-03,30123008,Liquid,Ocean Mist,0.5L,Cash,1009898,Kimbra Fairfoull,Bronze,0.05,3.0,8.73,8.2935,3.55
2023-01-03,30123009,Bar,Fresh Rain,1x,Cash,1007130,Ilka Cansdill,Gold,0.15,3.0,4.83,4.1055,1.29
2023-01-03,30123009,Bar,Eucalyptus Mint,4x,Cash,1007130,Ilka Cansdill,Gold,0.15,1.0,8.3,7.055000000000001,0.26
2023-01-03,30123010,Bar,Rose Garden,4x,Card,,,,,4.0,33.48,,
2023-01-03,30123011,Liquid,Fresh Rain,0.25L,Card,1004303,Mildred Robbel,Bronze,0.05,3.0,4.29,4.0755,0.69
2023-01-03,30123011,Liquid,Rose Garden,0.5L,Card,1004303,Mildred Robbel,Bronze,0.05,5.0,35.25,33.4875,14.99
2023-01-03,30123011,Liquid,Eucalyptus Mint,1L,Card,1004303,Mildred Robbel,Bronze,0.05,4.0,53.08,50.425999999999995,14.59
2023-01-03,30123012,Bar,Rose Garden,1x,Cash,,,,,4.0,9.8,,
2023-01-03,30123013,Bar,Eucalyptus Mint,2x,Cash,1005303,Margaret Domange,Bronze,0.05,4.0,24.92,23.674,9.31
2023-01-03,30123013,Bar,Coconut Dream,4x,Cash,1005303,Margaret Domange,Bronze,0.05,1.0,9.63,9.1485,3.97
2023-01-03,30123014,Bar,Fresh Rain,1x,Cash,1003713,Giulio Mingo,Silver,0.1,1.0,1.61,1.449,0.51
2023-01-03,30123014,Bar,Rose Garden,4x,Cash,1003713,Giulio Mingo,Silver,0.1,1.0,8.37,7.5329999999999995,1.95
2023-01-03,30123015,Liquid,Coconut Dream,1L,Card,,,,,4.0,30.0,,
2023-01-03,30123016,Bar,Rose Garden,1x,Cash,,,,,2.9999999999999996,7.35,,
2023-01-03,30123016,Liquid,Vanilla Bean,0.25L,Cash,,,,,4.0,18.44,,
2023-01-03,30123017,Bar,Vanilla Bean,1x,Card,1005259,Ingrid Linbohm,Bronze,0.05,3.0,10.92,10.373999999999999,2.87
2023-01-03,30123017,Bar,Sandalwood Spice,2x,Card,1005259,Ingrid Linbohm,Bronze,0.05,3.0,22.71,21.5745,9.93
2023-01-03,30123018,Bar,Eucalyptus Mint,1x,Cash,,,,,4.0,13.96,,
2023-01-03,30123018,Bar,Fresh Rain,4x,Cash,,,,,1.0,4.28,,
2023-01-03,30123018,Liquid,Sandalwood Spice,0.5L,Cash,,,,,1.0,9.56,,
2023-01-03,30123019,Bar,Sandalwood Spice,2x,Card,1009769,Cassius Faithfull,Silver,0.1,2.0,15.14,13.626000000000001,5.87
2023-01-03,30123019,Bar,Coconut Dream,4x,Card,1009769,Cassius Faithfull,Silver,0.1,2.0,19.26,17.334000000000003,6.97
2023-01-03,30123020,Bar,Ocean Mist,2x,Cash,,,,,1.0,2.04,,
2023-01-03,30123021,Liquid,Coconut Dream,0.25L,Cash,1008008,Katha Mungane,Bronze,0.05,4.0,9.52,9.043999999999999,2.12
2023-01-03,30123022,Bar,Cedarwood Forest,1x,Cash,,,,,2.0,4.36,,
2023-01-03,30123022,Bar,Cedarwood Forest,2x,Cash,,,,,4.0,12.2,,
2023-01-03,30123022,Liquid,Eucalyptus Mint,0.5L,Cash,,,,,4.999999999999999,44.4,,
2023-01-03,30123023,Bar,Cedarwood Forest,1x,Card,1007724,Granthem Hallitt,Silver,0.1,3.0,6.54,5.886,2.56
2023-01-03,30123023,Liquid,Eucalyptus Mint,0.25L,Card,1007724,Granthem Hallitt,Silver,0.1,4.0,18.0,16.2,7.12
2023-01-03,30123023,Liquid,Sandalwood Spice,0.25L,Card,1007724,Granthem Hallitt,Silver,0.1,5.0,21.25,19.125,6.88
2023-01-03,30123024,Liquid,Vanilla Bean,0.5L,Card,,,,,3.0000000000000004,22.05,,
2023-01-03,30123025,Liquid,Citrus Breeze,0.25L,Card,,,,,2.0,2.92,,
2023-01-03,30123025,Liquid,Cedarwood Forest,0.25L,Card,,,,,4.0,6.24,,
2023-01-03,30123025,Liquid,Cedarwood Forest,1L,Card,,,,,1.0,6.76,,
2023-01-03,30123026,Liquid,Lavender Fields,0.25L,Card,1001984,Erv Greenley,Bronze,0.05,4.0,9.2,8.739999999999998,2.74
2023-01-03,30123026,Liquid,Sandalwood Spice,0.5L,Card,1001984,Erv Greenley,Bronze,0.05,4.999999999999999,47.8,45.41,21.06
2023-01-03,30123027,Liquid,Eucalyptus Mint,0.25L,Cash,1003103,Linus Deighton,Silver,0.1,1.0,4.5,4.05,1.78
2023-01-03,30123027,Liquid,Sandalwood Spice,0.25L,Cash,1003103,Linus Deighton,Silver,0.1,4.0,17.0,15.3,5.5
2023-01-03,30123027,Liquid,Cedarwood Forest,0.25L,Cash,1003103,Linus Deighton,Silver,0.1,5.0,7.8,7.02,0.37
2023-01-03,30123028,Bar,Ocean Mist,1x,Card,1000533,Sterling Darco,Silver,0.1,3.0,3.6,3.24,1.26
2023-01-03,30123028,Bar,Vanilla Bean,2x,Card,1000533,Sterling Darco,Silver,0.1,2.9999999999999996,20.58,18.522,4.27
2023-01-03,30123029,Bar,Cedarwood Forest,2x,Cash,,,,,4.0,12.2,,
2023-01-03,30123029,Liquid,Fresh Rain,0.25L,Cash,,,,,4.0,5.72,,
2023-01-03,30123030,Bar,Lavender Fields,1x,Cash,1002213,Jodee Scurr,Gold,0.15,2.0,3.54,3.009,0.51
2023-01-03,30123030,Liquid,Fresh Rain,0.25L,Cash,1002213,Jodee Scurr,Gold,0.15,1.0,1.43,1.2155,0.09
2023-01-03,30123030,Liquid,Eucalyptus Mint,1L,Cash,1002213,Jodee Scurr,Gold,0.15,2.0,26.54,22.558999999999997,4.64
2023-01-03,30123031,Bar,Citrus Breeze,2x,Card,1007402,Aurora Baxill,Gold,0.15,5.0,10.1,8.584999999999999,1.48
2023-01-03,30123031,Liquid,Eucalyptus Mint,1L,Card,1007402,Aurora Baxill,Gold,0.15,2.0,26.54,22.558999999999997,4.64
